Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,
Data,0,device_info,timestamp,1037187209,,serial_number,3425706245,,manufacturer,1,,garmin_product,3990,,software_version,17.26,,device_index,0,,source_type,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,device_info,timestamp,1037187209,,manufacturer,1,,garmin_product,3990,,software_version,17.26,,local_device_type,4,,device_index,1,,source_type,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,device_info,timestamp,1037187209,,local_device_type,8,,device_index,2,,source_type,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,device_info,timestamp,1037187209,,software_version,0.06,,local_device_type,10,,device_index,3,,source_type,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,device_info,timestamp,1037187209,,manufacturer,1,,garmin_product,3995,,software_version,17.16,,local_device_type,12,,device_index,4,,source_type,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,0,developer_data_id,developer_id,16,,application_id,16,,application_version,1,,manufacturer_id,1,,developer_data_index,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,developer_data_id,application_id,202|176|1|181|3|76|74|207|133|114|202|100|8|0|183|162,,application_version,15,,developer_data_index,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,0,field_description,field_name,64,,units,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,field_description,field_name,jump_mode,,units,mode,,native_mesg_num,18,,developer_data_index,0,,field_definition_number,1,,fit_base_type_id,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,field_description,field_name,total_time,,units,mm:ss,,native_mesg_num,18,,developer_data_index,0,,field_definition_number,2,,fit_base_type_id,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,field_description,field_name,active_time,,units,mm:ss,,native_mesg_num,18,,developer_data_index,0,,field_definition_number,3,,fit_base_type_id,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,field_description,field_name,reps,,units,reps,,native_mesg_num,18,,developer_data_index,0,,field_definition_number,4,,fit_base_type_id,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,field_description,field_name,rounds,,units,rounds,,native_mesg_num,18,,developer_data_index,0,,field_definition_number,5,,fit_base_type_id,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,field_description,field_name,average_reps,,units,reps,,native_mesg_num,18,,developer_data_index,0,,field_definition_number,6,,fit_base_type_id,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,field_description,field_name,Max_streaks,,units,times,,native_mesg_num,18,,developer_data_index,0,,field_definition_number,7,,fit_base_type_id,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,field_description,field_name,max_jump_rate,,units,jpm,,native_mesg_num,18,,developer_data_index,0,,field_definition_number,8,,fit_base_type_id,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,field_description,field_name,total_calories,,units,kcal,,native_mesg_num,18,,developer_data_index,0,,field_definition_number,9,,fit_base_type_id,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,field_description,field_name,app_version,,units,ver,,native_mesg_num,18,,developer_data_index,0,,field_definition_number,10,,fit_base_type_id,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,0,lap,timestamp,1,,start_time,1,,sport,1,,total_timer_time,1,,total_elapsed_time,1,,total_distance,1,,total_calories,1,,max_cadence,1,,avg_cadence,1,,avg_step_length,1,,max_heart_rate,1,,min_heart_rate,1,,avg_heart_rate,1,,first_length_index,1,,num_lengths,1,,total_strokes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,lap,timestamp,1037187209,s,start_time,1037187145,,sport,10,,total_timer_time,64,s,total_elapsed_time,64,s,total_distance,0,m,total_calories,4,kcal,max_cadence,0,rpm,avg_cadence,0,rpm,avg_step_length,1,mm,max_heart_rate,106,bpm,min_heart_rate,86,bpm,avg_heart_rate,98,bpm,first_length_index,0,,num_lengths,0,,total_strokes,1,strokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,0,session,timestamp,1,,start_time,1,,sport,1,,sub_sport,1,,total_elapsed_time,1,,total_timer_time,1,,total_distance,1,,total_calories,1,,max_cadence,1,,avg_cadence,1,,avg_step_length,1,,max_heart_rate,1,,min_heart_rate,1,,avg_heart_rate,1,,max_speed,1,,avg_speed,1,,max_altitude,1,,min_altitude,1,,avg_altitude,1,,jump_mode,1,,total_time,1,,active_time,1,,reps,1,,rounds,1,,average_reps,1,,
Data,0,session,timestamp,1037187209,s,start_time,1037187145,,sport,10,,sub_sport,26,,total_elapsed_time,64,s,total_timer_time,64,s,total_distance,0,m,total_calories,4,kcal,max_cadence,0,rpm,avg_cadence,0,rpm,avg_step_length,1,mm,max_heart_rate,106,bpm,min_heart_rate,86,bpm,avg_heart_rate,98,bpm,max_speed,0,m/s,avg_speed,0,m/s,max_altitude,1,m,min_altitude,1,m,avg_altitude,1,m,jump_mode,Free,,total_time,3:23,mm:ss,active_time,2:23,mm:ss,reps,108,reps,rounds,0,rounds,average_reps,50,reps,1.0.0
