"Type","Local Number","Message","Field 1","Value 1","Units 1","Field 2","Value 2","Units 2","Field 3","Value 3","Units 3","Field 4","Value 4","Units 4","Field 5","Value 5","Units 5"
"Data",0,"record","timestamp",1049367365,"s","activity_type",10,"","heart_rate",106,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367370,"s","activity_type",10,"","heart_rate",94,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367375,"s","activity_type",10,"","heart_rate",95,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367380,"s","activity_type",10,"","heart_rate",96,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367385,"s","activity_type",10,"","heart_rate",96,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367390,"s","activity_type",10,"","heart_rate",97,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367395,"s","activity_type",10,"","heart_rate",97,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367400,"s","activity_type",10,"","heart_rate",97,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367405,"s","activity_type",10,"","heart_rate",97,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367410,"s","activity_type",10,"","heart_rate",97,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367415,"s","activity_type",10,"","heart_rate",97,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367420,"s","activity_type",10,"","heart_rate",97,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367425,"s","activity_type",10,"","heart_rate",97,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367430,"s","activity_type",10,"","heart_rate",96,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367435,"s","activity_type",10,"","heart_rate",106,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367440,"s","activity_type",10,"","heart_rate",109,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367445,"s","activity_type",10,"","heart_rate",109,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367450,"s","activity_type",10,"","heart_rate",106,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367455,"s","activity_type",10,"","heart_rate",107,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049367460,"s","activity_type",10,"","heart_rate",107,"bpm","speed","0.000","m/s",,,
